name,gender,sub-group,room type,phone
"Michael Addo 0","M","Ephraim Council","couple room","0248263134"
"Yaw Acquah 1","Male","Ephraim Council","Standard Dorm",""
"  Michael Acquah 2  ","M","Judah Council","Standard Dorm",""
"Prince Boateng 3","m","GALILEE COUNCIL","Couple Room","0252936917"
"  Ama Boateng 4  ","F","Ephraim Council","Couple Room","0259076593"
"Yaw Boateng 5","M","Galilee Council","standard dorm","0266314356"
"Yaw Owusu 6","m","Galilee Council","Standard Dorm","0248584867"
"Joshua Mensah 7","M","Galilee Council","Premium Room","0256851393"
"Kwabena Acquah 8","M","Ephraim Council","Premium Room","0832"
"Gifty Addo 9","F","Ephraim Council","Standard Dorm","0256410684"
"Kwaku Boateng 10","M","Judah Council","Premium Room","0259630788"
"Akua Addo 11","f","Galilee Council","Premium Room","0257789197"
"Yaw Nyarko 12","M","JUDAH COUNCIL","Standard Dorm","0282316540"
"Comfort Boateng 13","F","Ephraim Council","Couple Room","0216954716"
"Mary Boateng 14","F","Judah Council","Couple Room","0279356151"
"Akosua Nyarko 15","F","Ephraim Council","Standard Dorm","0277919112"
"Samuel Acquah 16","M","GALILEE COUNCIL","Premium Room","0216685980"
"Nathan Frimpong 17","M","JUDAH COUNCIL","Premium Room","021-161-1618"
"Efua Asante 18","F","Ephraim Council","Couple Room","0242133730"
"Yaw Darko 19","M","Galilee Council","Premium Room","0298298741"
"Yaa Frimpong 20","F","Judah Council","Couple Room","0247278665"
"  Nathan Adjei 21  ","MALE","GALILEE COUNCIL","couple room","0257704270"
"Yaw Mensah 22","MALE","Judah Council","Premium Room","0239824155"
"Samuel Nyarko 23","M","JUDAH COUNCIL","standard dorm","0285745317"
"Ama Appiah 24","f","Galilee Council","Standard Dorm","0245140407"
"Samuel Boateng 25","M","GALILEE COUNCIL","Premium Room","0288486256"
"  Emmanuel Mensah 26  ","M","JUDAH COUNCIL","Premium Room","0277384860"
"Mary Frimpong 27","F","Judah Council","Premium Room","0246482843"
"Kwaku Mensah 28","M","Judah Council","Premium Room","0297328780"
"Efua Frimpong 29","F","Judah Council","","027-813-8534"
"Emmanuel Adjei 30","Male","Ephraim Council","Premium Room","0240463192"
"Efua Frimpong 31","F","Galilee Council","","0277841452"
"Nathan Nyarko 32","M","Galilee Council","Premium Room","0221463693"
"Kojo Acquah 33","M","Ephraim Council","Standard Dorm","027-828-4170"
"Kofi Boateng 34","M","GALILEE COUNCIL","Standard Dorm","0262976866"
"Michael Addo 35","M","Ephraim Council","Standard Dorm","0224994446"
"Efua Addo 36","F","Judah Council","Premium Room","0299960747"
"Kwaku Appiah 37","MALE","EPHRAIM COUNCIL","Premium Room","0241131437"
"Efua Frimpong 38","F","Galilee Council","couple room","0284148824"
"Emmanuel Boateng 39","Male","EPHRAIM COUNCIL","Premium Room","0278297738"
"Ama Appiah 40","F","Ephraim Council","couple room","0232224849"
"Yaw Acquah 41","M","Galilee Council","Standard Dorm","0222714877"
"Yaa Adjei 42","F","Judah Council","Couple Room","0297647554"
"Nathan Acquah 43","M","GALILEE COUNCIL","Standard Dorm","0281759388"
"Faith Appiah 44","F","JUDAH COUNCIL","Couple Room","0231180332"
"Gifty Darko 45","F","JUDAH COUNCIL","Standard Dorm","0295632791"
"Michael Boateng 46","M","Galilee Council","Premium Room","0250436152"
"  Isaac Frimpong 47  ","M","Judah Council","Couple Room","0257077301"
"Kofi Nyarko 48","M","Judah Council","premium room","0227850975"
"Extra Col Person",M,Galilee Council,Standard Dorm,0244000111,ExtraJunkColumn
"Vida Darko 49","FEMALE","JUDAH COUNCIL","Standard Dorm","0273915745"
"Mary Owusu 50","F","Ephraim Council","Standard Dorm","0237380611"
"Kwame Nyarko 51","M","Judah Council","Premium Room","0292447374"
"Faith Addo 52","f","JUDAH COUNCIL","Standard Dorm","0229996911"
"Daniel Boateng 53","M","Galilee Council","Couple Room","0289767625"
"Yaw Nyarko 54","M","Judah Council","Premium Room","0252490119"
"  Gifty Addo 55  ","F","Galilee Council","Premium Room","0218292056"
"Ama Darko 56","F","Ephraim Council","Couple Room","022-288-5282"
"  Rebecca Mensah 57  ","F","Galilee Council","Standard Dorm","0225824243"
"Kofi Addo 58","M","EPHRAIM COUNCIL","Premium Room","0270477705"
"Yaw Owusu 59","M","Judah Council","Premium Room",""
"Priscilla Darko 60","F","Ephraim Council","Couple Room","0221602861"
"Yaw Darko 61","male","Ephraim Council","Couple Room","0261585264"
"Akua Owusu 62","F","Judah Council","Standard Dorm","0222767021"
"Efua Adjei 63","female","Judah Council","standard dorm","0225712476"
"Mary Boateng 64","F","Ephraim Council","Standard Dorm","0259627724"
"  Comfort Darko 65  ","F","Judah Council","standard dorm","0244251124"
"Kofi Addo 66","M","Judah Council","Premium Room","0286104312"
"Efua Owusu 67","F","Ephraim Council","Premium Room","0243954032"
"Priscilla Acquah 68","F","Judah Council","Premium Room","0254364606"
"Michael Owusu 69","M","Galilee Council","Standard Dorm","0249583078"
"Patience Boateng 70","F","Ephraim Council","Standard Dorm","024-655-3247"
"Rebecca Boateng 71","female","Judah Council","Couple Room","0249178933"
"Comfort Owusu 72","F","Ephraim Council","couple room","0263590782"
"Extra Col Person",M,Galilee Council,Standard Dorm,0244000111,ExtraJunkColumn
"  Comfort Appiah 73  ","F","GALILEE COUNCIL","Standard Dorm","0280847094"
"Emmanuel Appiah 74","male","Ephraim Council","Couple Room","+44 7911 216582"
"  Vida Nyarko 75  ","F","Ephraim Council","Premium Room","0244329942"
"Michael Adjei 76","male","Galilee Council","Premium Room","0257737691"
"  Prince Adjei 77  ","M","Galilee Council","couple room","0278075672"
"Akua Addo 78","F","Ephraim Council","Couple Room","0223585857"
